"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type","Spin Rate","Spin Axis"
"pw",,,"137.9","150.5","95.7","27.7","2.1","91.8","12.4","81.2","1.18","48.1","-1.0","-1.0",1,"3375","8.4"
"pw",,,"134.7","145.8","96.3","31.2","-1.3","108.2","0.9","87.4","1.10","52.7","-1.0","-1.0",1,"3629","4.5"
"pw",,,"142.2","158.2","94.1","28.1","0.9","82.1","12.1","83.5","1.13","43.0","-1.0","-1.0",1,"1874","15.0"
"pw",,,"134.5","144.9","98.1","27.7","-1.3","97.3","12.0","85.7","1.14","51.1","-1.0","-1.0",1,"4688","15.9"
"pw",,,"144.4","158.6","97.2","37.5","-2.1","128.0","-10.2","85.1","1.14","53.6","-1.0","-1.0",1,"1643","-5.9"
"pw",,,"127.8","134.8","99.1","29.1","-0.5","100.4","-25.3","89.6","1.11","53.4","-1.0","-1.0",1,"6955","-25.4"
"pw",,,"151.7","165.9","96.2","31.6","-1.0","95.8","-9.9","90.1","1.07","44.7","-1.0","-1.0",1,"1052","-11.7"
"pw",,,"139.1","153.1","94.8","34.7","3.2","111.9","19.0","86.9","1.09","51.7","-1.0","-1.0",1,"2089","14.9"
"8i",,,"136.7","140.2","109.1","28.3","5.1","122.3","21.4","88.5","1.23","57.6","-1.0","-1.0",1,"11572","7.9"
"8i",,,"156.0","169.5","104.5","27.6","0.9","110.2","-3.0","90.9","1.15","50.0","-1.0","-1.0",1,"3231","-4.5"
"8i",,,"167.6","181.3","110.9","26.9","0.6","114.2","29.7","87.9","1.26","49.9","-1.0","-1.0",1,"3081","24.0"
"8i",,,"147.9","153.8","113.7","27.0","1.3","129.5","3.3","90.1","1.26","56.7","-1.0","-1.0",1,"8409","0.1"
"8i",,,"185.7","204.2","112.0","26.8","-8.7","108.1","-27.3","91.2","1.23","44.2","-1.0","-1.0",1,"1671","1.3"
"8i",,,"188.0","206.0","114.6","27.0","-8.7","113.0","-49.2","91.2","1.26","45.7","-1.0","-1.0",1,"1844","-19.7"
"8i",,,"131.5","135.4","106.7","22.9","-11.0","79.2","-60.4","89.0","1.20","48.4","-2.0","-10.4",0,"10885","-40.0"
"8i",,,"130.6","136.2","104.8","23.6","-3.1","84.2","21.8","87.9","1.19","49.9","-3.5","-5.1",0,"12056","30.2"
"8i",,,"178.4","192.3","108.6","35.6","2.5","137.3","27.7","86.8","1.25","50.6","-1.0","-1.0",1,"966","26.0"
"8i",,,"178.2","195.6","108.2","30.6","-0.9","116.0","8.3","87.9","1.23","46.5","-1.0","-1.0",1,"1314","13.3"
"8i",,,"151.4","161.4","109.5","28.3","0.4","127.4","8.3","88.5","1.24","55.4","-1.0","-1.0",1,"4867","5.8"
"5i",,,"229.0","251.1","132.8","19.8","-1.4","102.9","-11.8","98.5","1.35","39.1","-1.9","-2.4",0,"1772","-4.6"
"5i",,,"136.6","166.3","105.4","13.2","15.6","31.5","40.3","94.6","1.11","20.7","-2.7","-2.7",0,"1568","8.9"
"5i",,,"159.9","167.8","122.7","18.5","0.8","103.5","6.0","94.6","1.30","51.3","-2.3","-1.1",0,"11225","2.7"
"5i",,,"181.8","213.0","119.5","16.5","-5.8","55.9","-16.6","85.1","1.40","27.1","-0.7","0.9",0,"1181","3.0"
"5i",,,"153.4","188.9","111.1","15.8","-2.2","41.1","-9.6","86.8","1.28","22.9","-1.0","-1.6",0,"911","-8.6"
"5i",,,"192.0","220.3","122.1","17.3","-3.4","63.5","-10.7","88.5","1.38","29.2","3.0","-2.8",0,"1215","1.4"
"5i",,,"152.1","182.1","107.7","17.0","0.1","44.2","-0.2","86.2","1.25","24.8","-0.4","-0.9",0,"1009","-0.8"
"5i",,,"139.2","148.3","109.6","15.7","-1.1","64.2","17.2","84.6","1.30","42.0","-1.0","-1.0",4,"10650","19.0"
"5i",,,"160.8","165.6","123.5","21.3","6.3","120.9","22.4","92.4","1.34","54.7","-1.0","-1.0",1,"10578","3.3"
"5i",,,"177.4","191.1","118.0","18.7","-0.5","92.2","23.4","87.9","1.34","44.7","-0.4","-3.7",0,"3952","18.1"
"5w",,,"212.1","228.0","131.4","17.5","-3.4","105.9","6.0","96.2","1.37","43.9","-1.2","-2.6",0,"3199","11.1"
"5w",,,"212.2","241.7","129.6","19.9","3.4","80.2","31.9","95.3","1.36","32.2","-0.5","0.9",0,"871","27.1"
"5w",,,"210.5","225.5","131.7","18.5","3.6","116.3","31.8","93.2","1.41","46.8","1.9","2.5",0,"3414","10.6"
"5w",,,"232.3","254.2","134.9","19.0","1.6","101.7","16.2","93.5","1.44","38.8","-1.0","-1.0",1,"1870","7.3"
"5w",,,"231.8","259.3","136.9","17.7","-0.9","87.3","3.9","95.1","1.44","33.8","2.9","0.7",0,"1331","7.5"
