"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type"
"pw",,,"118.6","128.3","91.7","35.0","-1.7","108.6","-2.9","87.9","1.04","56.0","-1.0","-1.0",4
"pw",,,"135.8","147.5","97.6","33.7","1.2","118.4","15.0","88.5","1.10","56.6","-5.9","-0.6",0
"pw",,,"126.4","138.0","95.0","36.0","-0.1","120.0","4.0","85.7","1.11","57.8","-1.0","-1.0",4
"pw",,,"128.9","139.1","96.1","32.5","-3.0","110.5","-8.1","85.7","1.12","55.0","-2.5","-0.4",0
"pw",,,"118.6","127.4","94.4","33.0","3.0","108.5","9.5","86.8","1.09","55.1","1.4","-1.1",0
"pw",,,"129.6","140.2","92.0","29.6","0.4","91.1","1.2","84.6","1.09","51.2","-4.4","1.5",0
"pw",,,"141.7","154.3","97.1","32.6","-4.3","113.2","-16.3","86.2","1.13","55.4","-1.0","-1.0",4
"pw",,,"126.0","137.9","95.3","16.8","-0.8","51.1","2.2","87.6","1.09","36.9","-4.7","-0.8",0
"pw",,,"121.2","131.0","90.3","31.2","-2.8","93.0","-6.6","85.1","1.06","52.2","-4.6","-1.0",0
"pw",,,"129.0","138.0","95.9","28.4","-2.1","95.1","-7.7","81.8","1.17","51.3","-7.1","0.8",0
"pw",,,"124.1","134.9","92.2","24.9","-2.3","75.0","-22.7","82.9","1.11","46.7","-1.0","-1.0",4
"pw",,,"122.6","132.7","90.4","29.6","0.0","88.0","2.4","84.0","1.08","50.8","-3.4","-1.7",0
"pw",,,"113.9","123.8","88.3","21.9","5.0","58.0","20.8","84.0","1.05","41.4","-4.9","-1.1",0
"pw",,,"122.0","132.4","91.3","26.2","-1.0","77.8","-4.8","85.1","1.07","47.7","-4.7","-0.3",0
"pw",,,"127.7","136.2","95.2","29.0","1.6","95.9","4.2","86.2","1.10","51.8","-6.4","1.3",0
"8i",,,"158.2","169.3","111.8","18.7","0.7","86.7","0.6","92.4","1.21","46.3","-3.4","2.1",0
"8i",,,"150.4","162.9","106.6","16.7","-1.8","68.1","-10.4","92.4","1.15","41.2","-4.2","0.3",0
"8i",,,"161.7","172.3","114.6","17.4","0.6","85.5","-0.6","93.5","1.23","45.6","-5.0","0.6",0
"8i",,,"154.1","165.1","111.6","16.2","2.5","74.7","6.5","91.8","1.22","42.9","-5.1","1.0",0
"8i",,,"172.3","185.1","116.2","19.1","-1.8","97.2","-8.0","92.4","1.26","48.1","-5.5","0.3",0
"8i",,,"148.5","162.1","104.4","17.5","1.6","67.9","10.0","93.5","1.12","41.4","-5.4","1.1",0
"8i",,,"161.8","174.0","109.2","23.8","4.5","105.1","26.8","91.8","1.19","50.9","-6.7","-1.2",0
"8i",,,"95.3","109.8","92.4","11.6","15.8","28.3","43.8","89.6","1.03","25.3","-4.3","1.6",0
"8i",,,"101.5","112.0","88.9","17.2","17.2","43.1","52.6","86.8","1.02","34.1","-5.6","1.7",0
"8i",,,"130.4","143.4","99.6","15.7","-2.1","52.7","-19.1","81.8","1.22","36.7","-5.3","2.4",0
"8i",,,"155.2","167.7","110.3","15.6","1.0","69.3","6.4","92.4","1.19","41.3","-5.3","0.2",0
"8i",,,"160.8","171.2","115.6","17.5","-1.3","87.9","-8.2","90.7","1.27","46.0","-6.4","0.2",0
"8i",,,"156.8","167.4","110.5","22.0","2.8","99.3","13.5","94.0","1.17","49.4","-5.5","0.3",0
"8i",,,"158.4","168.2","113.0","19.5","0.8","92.6","10.3","93.5","1.21","47.6","-7.0","-0.7",0
"8i",,,"163.1","176.1","109.3","24.7","5.0","109.4","25.7","94.6","1.16","51.7","-5.9","0.5",0
"8i",,,"146.7","157.4","104.7","20.4","2.9","81.0","6.6","85.1","1.23","45.7","-5.8","2.5",0
"8i",,,"142.2","153.1","102.6","20.2","-0.2","76.5","4.3","90.1","1.14","44.5","-5.2","-0.4",0
"8i",,,"147.5","159.4","104.0","21.5","0.6","84.4","0.3","86.8","1.20","46.8","-5.2","1.5",0
"8i",,,"159.8","172.2","110.6","20.6","0.6","93.3","0.2","88.5","1.25","47.9","-6.1","0.1",0
"8i",,,"156.6","168.5","107.4","23.1","2.8","98.0","7.2","90.1","1.19","49.6","-2.4","2.6",0
"8i",,,"139.2","150.4","103.4","15.7","-0.7","58.5","-1.9","86.2","1.20","38.4","-4.1","2.6",0
"8i",,,"170.4","184.3","113.2","18.9","-0.9","90.5","2.3","92.9","1.22","47.0","-5.6","1.9",0
"8i",,,"165.5","178.0","110.1","23.0","1.5","103.3","6.9","92.9","1.19","50.3","-6.0","-1.1",0
"6i",,,"179.3","191.7","123.8","14.4","1.6","85.6","11.3","94.0","1.32","43.7","-5.5","0.4",0
"6i",,,"183.5","196.8","126.4","12.2","0.7","77.8","7.0","96.2","1.31","41.4","-6.9","-0.4",0
"6i",,,"178.7","192.4","123.7","12.8","1.4","77.0","16.0","94.6","1.31","41.5","-7.7","-1.1",0
"6i",,,"183.7","197.3","125.2","11.9","-0.8","74.0","-4.2","94.0","1.33","40.4","-6.1","-0.2",0
"6i",,,"173.2","184.5","120.4","16.5","2.4","91.2","19.1","92.4","1.30","45.4","-3.1","1.5",0
"6i",,,"183.5","196.4","126.6","11.9","-2.7","76.1","-7.9","94.0","1.35","40.8","-6.4","-1.3",0
"6i",,,"101.3","140.0","115.0","5.2","4.4","23.3","18.7","92.4","1.25","19.7","-9.2","-0.6",0
"6i",,,"131.6","148.9","103.2","15.5","16.3","56.6","58.2","91.2","1.13","37.0","-6.2","-1.6",0
"6i",,,"178.3","192.8","122.1","12.4","-1.1","71.9","-4.6","91.2","1.34","40.1","-6.8","-1.8",0
"6i",,,"175.4","189.0","119.3","14.0","0.3","75.6","9.8","92.4","1.29","41.4","-4.8","-1.2",0
"6i",,,"181.9","195.0","124.4","15.0","1.0","90.0","15.2","94.6","1.32","44.7","-5.9","-1.4",0
"6i",,,"182.8","196.5","124.6","13.0","-0.7","79.2","3.4","92.4","1.35","41.9","-6.7","-1.3",0
"6i",,,"176.1","189.7","121.5","14.8","1.5","84.1","19.4","92.4","1.32","43.5","-6.4","-2.1",0
"6i",,,"164.4","177.8","113.7","15.3","4.5","72.8","29.2","91.8","1.24","41.3","-7.8","-1.3",0
"6i",,,"166.4","179.0","116.4","15.9","-0.4","80.6","8.9","91.8","1.27","43.1","-5.5","-2.4",0
"6i",,,"172.9","185.3","121.9","13.2","0.1","75.7","14.0","92.9","1.31","41.2","-7.0","-2.0",0
"6i",,,"176.4","190.0","120.8","13.9","3.1","77.9","22.6","92.9","1.30","42.0","-8.4","0.4",0
"6i",,,"163.1","176.3","115.5","13.0","-1.1","64.0","1.5","91.8","1.26","38.2","-5.5","-1.9",0
"6i",,,"166.8","180.4","115.3","14.3","2.0","70.8","22.5","91.2","1.26","40.4","-6.3","-1.4",0
"6i",,,"153.7","169.6","113.4","11.1","-0.2","51.4","6.8","91.2","1.24","33.8","-6.1","0.4",0
"6i",,,"149.3","163.5","108.2","14.1","-0.1","57.4","2.6","94.0","1.15","36.4","-3.2","-0.9",0
"6i",,,"164.8","180.4","119.8","10.5","-0.5","57.3","4.4","90.7","1.32","35.4","-4.8","0.2",0
"6i",,,"175.1","190.0","121.3","11.8","-1.3","67.1","-13.0","91.8","1.32","38.7","-5.2","-0.9",0
"6i",,,"176.2","190.1","122.1","13.9","-0.5","80.0","-1.9","91.2","1.34","42.3","-6.4","-1.7",0
"6i",,,"135.5","164.7","115.1","6.4","1.9","29.1","23.6","92.9","1.24","23.0","-5.2","-2.6",0
"6i",,,"181.2","194.8","123.8","12.9","-0.0","77.2","5.9","91.8","1.35","41.4","-5.1","-0.5",0
"4i",,,"160.3","173.8","113.5","15.3","1.6","70.6","16.5","96.8","1.17","39.6","-2.5","1.2",0
"4i",,,"166.4","179.8","117.3","13.5","0.1","67.5","10.6","93.5","1.25","38.3","-1.0","-1.0",4
"4i",,,"177.5","193.9","123.7","10.8","-0.1","62.2","7.7","92.9","1.33","35.8","-4.6","-3.1",0
"4i",,,"181.3","194.0","125.5","12.4","0.1","74.4","10.5","94.0","1.33","39.4","-4.5","-1.6",0
"4i",,,"172.8","186.1","124.0","11.7","1.7","68.1","29.0","95.1","1.30","37.8","-5.5","-3.8",0
"4i",,,"166.3","182.4","119.3","11.1","1.5","57.1","20.2","94.6","1.26","34.4","-4.8","-1.8",0
"4i",,,"178.0","193.0","123.9","11.2","-2.1","64.7","-15.2","93.5","1.33","36.6","-3.2","-0.7",0
"4i",,,"192.0","207.1","127.5","12.7","-0.3","79.7","12.4","96.2","1.33","40.7","-4.3","-1.9",0
"4i",,,"186.3","199.7","129.5","11.4","-0.9","74.4","3.7","96.8","1.34","39.0","-5.3","-1.4",0
"4i",,,"167.5","189.5","121.4","9.1","-2.3","48.7","-1.7","93.5","1.30","31.0","-4.8","-0.5",0
"4i",,,"177.2","192.6","121.2","12.2","1.0","66.3","10.6","91.8","1.32","37.4","-3.8","-1.2",0
"4i",,,"192.0","206.8","128.3","13.3","2.1","84.7","23.5","96.8","1.33","42.0","-4.2","-1.0",0
"4i",,,"177.1","192.1","125.4","10.8","-0.8","65.2","4.4","95.7","1.31","36.7","-5.3","-1.5",0
"4i",,,"34.3","54.1","52.2","14.3","-0.7","7.3","-0.5","28.8","1.81","17.1","12.8","7.6",0
"3w",,,"198.8","216.5","132.7","9.4","-3.4","61.8","-2.9","96.8","1.37","33.5","-4.4","-2.4",0
"3w",,,"182.6","196.2","125.7","12.1","-5.8","68.5","-38.7","96.8","1.30","36.2","-3.6","-2.3",0
"3w",,,"182.9","196.7","123.2","17.0","-0.7","95.1","-5.1","97.4","1.27","44.3","-1.0","-1.0",4
"3w",,,"181.4","204.3","123.8","8.6","-6.4","45.1","-31.6","92.9","1.33","28.1","-4.0","-0.6",0
"3w",,,"188.2","211.2","129.8","8.5","-3.7","52.2","-20.4","92.9","1.40","30.4","-5.6","0.2",0
"3w",,,"194.5","215.2","132.4","9.0","-5.0","58.9","-38.0","96.8","1.37","32.7","-4.8","-0.4",0
"3w",,,"180.2","194.3","124.3","12.0","-3.0","65.2","-18.7","95.1","1.31","35.2","-1.0","-1.0",4
"d",,,"210.4","225.3","142.9","10.6","-0.4","77.9","17.4","105.1","1.36","36.1","4.2","-4.4",0
"d",,,"208.2","246.5","143.0","4.2","-7.5","34.3","-28.7","107.3","1.33","21.7","2.2","-6.0",0
"d",,,"210.5","236.9","143.8","6.7","-3.1","52.6","13.6","105.7","1.36","28.6","1.3","-4.5",0
"d",,,"180.6","192.0","135.3","12.6","-0.1","83.8","52.0","102.4","1.32","38.9","1.3","-6.8",0
"d",,,"166.4","197.8","132.3","5.5","-6.8","33.6","1.7","102.4","1.29","22.0","4.6","-12.3",0
"d",,,"197.5","210.7","139.4","10.8","-2.9","75.3","25.4","103.5","1.35","35.8","0.2","-6.3",0
"d",,,"214.5","243.4","139.6","8.5","-6.1","61.0","-8.4","104.0","1.34","31.8","1.2","-6.3",0
"d",,,"176.7","196.8","138.4","10.4","-4.4","70.9","32.4","102.4","1.35","34.7","2.2","-6.4",0
"d",,,"223.9","241.6","140.4","12.1","-5.1","84.4","-0.8","103.5","1.36","37.9","2.7","-6.4",0
"d",,,"224.5","240.0","145.0","12.9","-3.4","94.8","13.1","104.6","1.39","39.5","1.4","-5.6",0
"d",,,"211.2","232.7","142.3","8.9","-5.4","66.4","5.8","106.8","1.33","33.1","-0.8","-6.4",0
"d",,,"216.5","231.8","143.8","10.6","-5.2","77.9","3.4","104.6","1.38","35.8","2.2","-7.3",0
"d",,,"219.1","233.4","145.5","12.5","-3.7","93.1","8.1","105.7","1.38","39.2","0.9","-7.3",0
