Club Type,Club Brand,Club Model,Carry Distance,Total Distance,Ball Speed,Launch Angle,Launch Direction,Apex,Side Carry,Club Speed,Smash Factor,Descent Angle,Attack Angle,Club Path,Club Data Est Type
pw,,,121.6,129.6,92.3,26.7,5.4,81.7,6.6,84,1.1,48.8,-4,4.4,0
pw,,,118.8,152.3,110.2,4.8,1.1,17.4,14.6,85.7,1.29,16.2,-7.2,-2.1,0
pw,,,119,127.1,90.9,28,-1.4,83.3,-6.8,84.6,1.07,49.4,-7.1,-0.6,0
pw,,,122.6,131.1,93,24.9,1.5,76.4,1.2,83.5,1.11,47,-8.4,1,0
pw,,,122.2,131.5,94,20.6,0.6,63,1.3,85.1,1.1,42.2,-9.2,1.3,0
pw,,,61.7,70.5,60.1,32.3,0.4,39.9,-0.2,85.1,0.71,42.2,-5.9,-1.6,0
pw,,,133.7,142.7,98.6,22.8,-3.8,79.5,-16.8,85.7,1.15,46.7,-1,-1,1
5w,,,174,189.6,119.1,14.6,6.5,75.5,10.5,92.9,1.28,40.1,-3.8,3,0
5w,,,188.8,204.1,124.9,14,3.9,81.8,12.8,95.1,1.31,41.1,-3.7,2.1,0
5w,,,212.3,235,139.1,9.5,2.1,74.4,-17.8,102.4,1.36,37.6,1.6,3.9,0
5w,,,82.3,126.2,108.5,5.6,15.3,15.8,30,99.3,1.09,14.2,7.9,13.1,0
5w,,,106.6,137.8,101.3,6.3,15.5,14.2,28.5,98.5,1.03,13.8,-1,-1,4
5w,,,61.7,79.7,66.3,15.6,11.6,16.2,12.4,96.8,0.68,22.2,10.2,9.9,0
5w,,,131.7,155.4,104.6,11.4,1.3,38.4,-6.4,76.2,1.37,28,2.7,8,0
5w,,,144.2,157.1,102.1,19.7,-7.3,71.7,-30.8,79,1.29,42,1,-1.9,0
5w,,,180.2,213.7,133.3,5.8,11.4,44,64.7,98.4,1.35,28.3,8.1,16,0
5w,,,187.1,206.9,128.9,11.5,4.1,72.6,-16.5,95.1,1.36,37.9,-2.2,6.3,0
5w,,,106.9,147.2,108.1,7.9,-17.1,28.9,-28.5,75.7,1.43,23.3,0,-20.7,0
5w,,,144.7,169.5,109.6,12,-16.9,48.8,-49.5,76.2,1.44,32.5,3.6,-16.5,0
5w,,,134,145.4,96.4,25.8,-5.7,86.5,-11.1,77.9,1.24,48.3,2.6,-10.6,0
8i,,,153.9,164.7,112.1,15.9,2.5,73.7,19.3,94.6,1.19,42.4,-4.6,0.7,0
8i,,,145.2,158.3,107.8,18.2,3.1,68.9,15.2,92.1,1.17,44.1,-3.8,1.2,0
8i,,,148.6,161.2,109.5,17.1,1.8,71.2,12.4,93.5,1.17,43.2,-4.2,0.9,0
7i,,,162.4,176.8,115.6,16.8,2.2,79.3,14.6,96.2,1.2,41.8,-3.5,1.5,0
7i,,,158.9,172.4,113.2,17.5,3.4,76.8,18.2,94.8,1.19,42.9,-3.9,1.8,0
6i,,,175.3,190.2,120.4,15.2,1.9,82.6,11.3,98.7,1.22,39.5,-3.2,2.1,0
6i,,,171.8,186.5,118.7,16.1,2.8,80.1,15.8,97.2,1.22,40.8,-3.6,1.9,0
driver,,,245.6,268.4,156.8,11.2,3.5,92.4,22.1,112.3,1.4,32.1,2.1,4.5,0
driver,,,251.2,275.8,159.2,10.8,2.1,89.7,15.6,114.1,1.39,31.2,1.8,3.8,0
driver,,,238.4,261.2,152.4,12.5,4.2,95.8,28.3,110.5,1.38,33.8,2.5,5.2,0
sw,,,92.4,98.6,78.2,32.1,2.8,62.4,8.5,74.2,1.05,52.3,-6.2,2.1,0
sw,,,88.6,94.2,75.8,33.5,-1.2,65.2,-4.2,72.8,1.04,53.8,-6.8,1.5,0
lw,,,68.4,72.1,62.5,38.2,1.5,52.3,4.8,68.4,0.91,58.2,-8.5,1.2,0
lw,,,72.1,76.8,65.2,36.8,2.1,55.6,6.2,70.1,0.93,56.4,-7.9,1.8,0
9i,,,138.2,149.6,102.4,19.8,2.4,74.2,11.8,89.6,1.14,45.2,-4.8,1.1,0
9i,,,135.6,146.8,100.8,20.5,3.1,71.8,14.5,88.2,1.14,46.1,-5.1,1.4,0
